SLOTTING_TYPE,SLOTTING_GRADE,MATURITY_LT_2P5_YRS,MATURITY_GE_2P5_YRS,,,
Object,1,50,70,,,
Object,2,70,90,,,
Object,3,115,115,,,
Object,4,250,250,,,
Object,5,0,0,,,
Project,1,50,70,,,
Project,2,70,90,,,
Project,3,115,115,,,
Project,4,250,250,,,
Project,5,0,0,,,
Commodities,1,50,70,,,
Commodities,2,70,90,,,
Commodities,3,115,115,,,
Commodities,4,250,250,,,
Commodities,5,0,0,,,
IPRE,1,50,70,,,
IPRE,2,70,90,,,
IPRE,3,115,115,,,
IPRE,4,250,250,,,
IPRE,5,0,0,,,
HVCRE,1,50,70,,,
HVCRE,2,70,90,,,
HVCRE,3,115,115,,,
HVCRE,4,250,250,,,
HVCRE,5,0,0,,,
