CMS_RATING,R_PD_PC,PROV_RATE_PC,FREQ_THRESH_LOWER,FREQ_THRESH_UPPER,,
1,0.03,0.0135,-10,-3.48,,
2,0.03,0.0135,-3.48,-3.48,,
3,0.03,0.0135,-3.48,-3.38,,
4,0.03,0.0135,-3.38,-2.79,,
5,0.04,0.018,-2.79,-1.62,,
6,0.06,0.027,-1.62,-0.94,,
7,0.011,0.0495,-0.94,-0.43,,
8,0.18,0.081,-0.43,-0.19,,
9,28,0.126,-0.19,0.07,,
10,0.42,0.189,0.07,0.41,,
11,0.63,0.2835,0.41,0.63,,
12,1,0.45,0.63,0.89,,
13,1.62,0.729,0.89,1.13,,
14,2.6,1.17,1.13,1.45,,
15,4.2,3.78,1.45,1.67,,
16,6.2,5.58,1.67,1.8,,
17,8.7,7.83,1.8,1.99,,
18,12,10.8,1.99,2.07,,
19,31,27.9,2.07,2.17,,
20,100,45,2.17,10,,
