ST_EXPOSURE_CLASS_NAME,ST_EXPOSURE_CLASS_REF,ST_EXPOSURE_CLASE_KEY,ST_EXPOSURE_CLASS_USES_CQS_ID
Central Government and Central Banks,a,1,1
Regional Government and Local Authorities,b,2,1
Public Sector Entities,c,3,1
Multilateral Development Banks,d,4,1
Exposures to International Organisations,e,5,1
Institutions,f,6,1
Corporates,g,7,1
Retail Exposures,h,8,0
Real Estate,I,9,0
Exposures in Default,j,10,0
Particularly High Risk Items,k,11,0
Covered Bonds,l,12,1
Securitisations,m,13,0
Exposures to institutions and corporates with short term credit assessments,n,14,1
Exposures in the form of units or shares in Collective Investment Understakings,o,15,0
"Subordinated Debt, Equity and Other Own Funds Investments",p,16,0
Other Items,q,17,0
